,Origin City,Origin State,Destination City,Destination State,Route Class,Priority,Distance,Cost
124,KINGSPORT,TN,BAYTOWN,TX,Blue,1,1110,3156.32
125,KINGSPORT,TN,UNION,MO,Blue,1,715,2427.3
126,KINGSPORT,TN,CHARLOTTE,NC,Red,1,285,2351.72
127,KINGSPORT,TN,CALVERT CITY,KY,Green,1,693,3902.17
128,KINGSPORT,TN,EDMONTON,AB,Blue,1,2378,5173.27
129,KINGSPORT,TN,CARSON,CA,Green,1,2499,7641.99
130,KINGSPORT,TN,FTROUGE,MB,Blue,1,1572,3931.33
131,KINGSPORT,TN,EAGLE PASS,TX,Blue,1,1474,3153.04
132,KINGSPORT,TN,LUBBOCK,TX,Blue,1,1602,4637.28
133,KINGSPORT,TN,ROCHESTER,NY,Blue,1,740,2476.13
134,KINGSPORT,TN,HANOVER,NC,Red,1,420,2678.72
135,KINGSPORT,TN,NEW BERLIN,WI,Green,1,832,3035.45
136,KINGSPORT,TN,LAREDO,TX,Blue,1,1406,3970.85
137,KINGSPORT,TN,RED OAK,IA,Green,1,1170,3397.69
138,KINGSPORT,TN,LAREDO,TX,Blue,1,1406,3931.33
139,KINGSPORT,TN,INDIANAPOLIS,IN,Blue,1,587,1748.41
140,KINGSPORT,TN,TOLEDO,OH,Blue,1,464,1905.88
141,KINGSPORT,TN,KANSAS CITY,MO,Blue,1,932,2837.84
142,KINGSPORT,TN,LENEXA,KS,Blue,1,1004,2968.35
143,KINGSPORT,TN,OAKDALE,GA,Red,1,400,2302.37
144,KINGSPORT,TN,STREATOR,IL,Green,1,818,3482.35
145,KINGSPORT,TN,KANSAS CITY,KS,Green,1,1370,4141.8
146,KINGSPORT,TN,LAREDO,TX,Blue,1,1406,3944.94
147,KINGSPORT,TN,BROWNSVILLE,TX,Blue,1,1453,3844.97
148,KINGSPORT,TN,JAMESTOWN,NC,Red,1,320,2440.5
149,KINGSPORT,TN,JACKSONVILLE,FL,Red,1,600,2175.81
150,KINGSPORT,TN,LOUISVILLE,KY,Blue,1,381,2068.53
151,KINGSPORT,TN,COUNCIL BLUFFS,IA,Blue,1,1265,3423.52
152,KINGSPORT,TN,NEW HAMBURG,ON,Green,1,694,2583.54
153,KINGSPORT,TN,SALT LAKE CITY,UT,Blue,1,2243,5701.89
154,KINGSPORT,TN,LAREDO,TX,Blue,1,1406,4023.45
155,KINGSPORT,TN,NORTH SAN JOSE,CA,Green,1,2990,8265.17
156,KINGSPORT,TN,WHEELING,IL,Green,1,758,2865.3
157,KINGSPORT,TN,LAREDO,TX,Blue,1,1406,3941.02
158,KINGSPORT,TN,BROWNSVILLE,TX,Blue,1,1453,4230.24
159,KINGSPORT,TN,VALLEYFIELD,QC,Blue,1,1027,3009.54
160,KINGSPORT,TN,PLEASANT PRAIRIE,WI,Green,1,771,850.1
161,KINGSPORT,TN,FARMERS,CO,Blue,1,1688,5016.53
162,KINGSPORT,TN,EAGLE PASS,TX,Blue,1,1474,3721.49
163,KINGSPORT,TN,HOPEWELL,VA,Blue,1,453,1881.38
164,KINGSPORT,TN,VALLEYFIELD,QC,Blue,1,1028,3011.32
165,KINGSPORT,TN,NORTH GRAFTON,MA,Red,1,1123,4889.52
166,KINGSPORT,TN,NORCROSS,GA,Red,1,337,2152.23
167,KINGSPORT,TN,LOGANSPORT,IN,Red,1,605,2748.24
168,KINGSPORT,TN,BROWNSVILLE,TX,Blue,1,1453,3629.79
169,KINGSPORT,TN,NORTH CHICAGO,IL,Green,1,783,2501.23
170,KINGSPORT,TN,EL DORADO,KS,Green,1,1452,4277.52
171,KINGSPORT,TN,EAGLE PASS,TX,Blue,1,1474,3379.72
172,KINGSPORT,TN,SAN JOSE,CA,Green,1,2986,8207.39
173,KINGSPORT,TN,ELIZABETH,NJ,Red,1,1100,3680.49
174,BAYPORT,TX,KINGSPORT,TN,Green,1,1105,3505.62
175,BAYPORT,TX,LONGVIEW,TX,Red,1,264,1293.11
176,BAYPORT,TX,BISHOP,TX,Red,1,299,1344.53
177,BAYPORT,TX,ROSEPORT,MN,Red,1,1296,4017.7
178,BAYPORT,TX,GEISMAR,LA,Red,1,452,2955.68
179,BAYPORT,TX,VERNON,CA,Red,1,1681,4538.02
180,BISHOP,TX,KINGSPORT,TN,Green,1,1323,3879.52
181,CHOCOLATE BAYOU,TX,ANNISTON,AL,Red,1,831,5339.84
182,CHOCOLATE BAYOU,TX,HOUSTON,TX,Red,1,38,683.62
183,CHOCOLATE BAYOU,TX,BAYPORT,TX,Red,1,86,1365.75
184,DEER PARK,TX,KINGSPORT,TN,Blue,4,1093,2682.1
185,DEER PARK,TX,KINGSPORT,TN,Blue,1,1159,2682.1
186,GALENA PARK,TX,LONGVIEW,TX,Blue,2,307,1535.95
187,HOUSTON,TX,CHANDLER,AZ,Red,1,1237,3917.57
188,LONGVIEW,TX,KINGSPORT,TN,Blue,10,904,2602.75
189,LONGVIEW,TX,BAYPORT,TX,Red,5,331,1345.89
190,LONGVIEW,TX,TEXAS CITY,TX,Blue,3,275,1453.75
191,LONGVIEW,TX,INDIANAPOLIS,IN,Blue,3,884,2749.4
192,LONGVIEW,TX,GALENA PARK,TX,Blue,3,347,1634.91
193,LONGVIEW,TX,ARGO,IL,Green,2,889,2665.22
194,LONGVIEW,TX,TAFT,LA,Red,2,344,2169.32
195,LONGVIEW,TX,EASTMAN,SC,Green,2,1121,4457.57
196,LONGVIEW,TX,TOLEDO,OH,Blue,2,1065,3371.68
197,LONGVIEW,TX,PERTH AMBOY,NJ,Blue,2,1627,3750.88
198,LONGVIEW,TX,VERNON,CA,Red,2,1590,4326.07
199,LONGVIEW,TX,PACE,FL,Green,2,635,3602.93
200,LONGVIEW,TX,MAGNESS,AR,Red,2,334,2144.87
201,LONGVIEW,TX,BAYPORT,TX,Red,2,331,1340.07
202,LONGVIEW,TX,INDIAN ORCHARD,MA,Green,1,1726,6570.01
